Date,StudentID,Amount,IsEssential,EssentialProb
2024-01-07,1,550,Yes,0.7202889763374676
2024-01-20,1,399,Yes,0.6426166590519291
2024-01-28,1,90,Yes,0.46301208639858
2024-02-06,1,400,Yes,0.6620348498461639
2024-02-19,1,499,Yes,0.7125597211490636
2024-03-05,1,320,Yes,0.6376898802598227
2024-03-18,1,599,Yes,0.7736361213841422
2024-03-29,1,120,Yes,0.5223970314862377
2024-01-06,1,149,No,0.18627240780347923
2024-01-24,1,250,No,0.22544974678204696
2024-02-05,1,149,No,0.1992229561708782
2024-02-14,1,500,No,0.3644043589441393
2024-03-06,1,149,No,0.21283838435498265
2024-03-22,1,300,No,0.27913740931991304
2024-01-02,1,1800,Yes,0.9198176373863192
2024-01-05,1,120,No,0.17421604580938585
2024-01-10,1,320,No,0.2534428960003652
2024-01-18,1,65,No,0.15618982600108539
2024-01-25,1,1800,Yes,0.9198176373863192
2024-01-29,1,250,No,0.2232494019654252
2024-02-01,1,1800,Yes,0.9257474519147975
2024-02-04,1,150,No,0.1975902445574252
2024-02-10,1,350,No,0.2837937294554934
2024-02-15,1,1800,Yes,0.9257474519147975
2024-02-22,1,90,No,0.17593496965425692
2024-02-28,1,280,No,0.25120108052424817
2024-03-01,1,1800,Yes,0.9312714994795513
2024-03-04,1,130,No,0.2033095025225069
2024-03-10,1,360,No,0.30604438644647064
2024-03-15,1,1800,Yes,0.9312714994795513
2024-03-20,1,75,No,0.18293985773506913
2024-03-28,1,290,No,0.2718663445691795
2024-01-14,1,230,Yes,0.6470406072279574
2024-01-26,1,310,No,0.6891904738026546
2024-02-08,1,420,Yes,0.7579057307732544
2024-02-20,1,180,Yes,0.6388526290721858
2024-03-08,1,520,Yes,0.8118904717095462
2024-03-19,1,210,Yes,0.6737072591992045
2024-01-21,1,220,Yes,0.7538025581481723
2024-01-30,1,600,Yes,0.8831736484407479
2024-02-12,1,150,Yes,0.7380306734638772
2024-02-26,1,600,Yes,0.8914937543508549
2024-03-13,1,200,Yes,0.7752054712231379
2024-03-26,1,600,Yes,0.8992888904284633
2024-01-15,1,900,No,0.5620656723012507
2024-01-27,1,200,No,0.19538179892511054
2024-02-17,1,700,No,0.46433661808276006
2024-02-25,1,150,No,0.18983531070157217
2024-03-16,1,950,No,0.6306463420740098
2024-03-25,1,250,No,0.24416637847477915
2024-01-04,1,40,Yes,0.49066271031315817
2024-01-12,1,110,No,0.5322408788056402
2024-01-22,1,40,Yes,0.49066271031315817
2024-02-03,1,40,Yes,0.5114739888124197
2024-02-11,1,120,No,0.5587733852856063
2024-02-24,1,40,Yes,0.5114739888124197
2024-03-03,1,40,Yes,0.5322455663145707
2024-03-12,1,140,No,0.5907370772218347
2024-03-24,1,40,Yes,0.5322455663145707
2024-03-30,1,40,Yes,0.5322455663145707
